# prerequisite	course	score	count_prereq	count_course	p_prereq	p_course
PSYCH70	<END>	0.3895680521597392	1227.0	15797.0	0.07767297588149649	1.0
ECON1B	ECON50	0.387458006718925	893.0	1881.0	0.05652972083306957	0.11907324175476357
ME80	<END>	0.3775401069518717	935.0	15797.0	0.05918845350382984	1.0
PHYSICS44	PHYSICS45	0.3775280898876405	890.0	1794.0	0.056339811356586694	0.11356586693676014
CS221	<END>	0.3757062146892655	1062.0	15797.0	0.06722795467493828	1.0
ECON102A	ECON51	0.3713027061044682	1589.0	1273.0	0.10058871937709692	0.08058492118756726
PSYCH80	<END>	0.3685419058553387	871.0	15797.0	0.055137051338861806	1.0
CS105	<END>	0.3678861788617886	1476.0	15797.0	0.09343546242957523	1.0
ENGR14	ME80	0.3661390227116311	1453.0	935.0	0.09197948977653984	0.05918845350382984
BIO41	CHEM131	0.36023054755043227	1388.0	1442.0	0.08786478445274419	0.09128315502943597
CS106B	CS103	0.36016779864163007	5006.0	3319.0	0.31689561309109326	0.21010318414888904
CS107	CS103	0.3542587680518715	3393.0	3319.0	0.21478761790213333	0.21010318414888904
CHEM35	BIO42	0.35181644359464626	2092.0	1196.0	0.13243020826739255	0.0757105779578401
ECON50	ECON102B	0.341839447102605	1881.0	1039.0	0.11907324175476357	0.06577198202190289
ME103D	ME80	0.340625	960.0	935.0	0.06077103247452048	0.05918845350382984
PHYSICS23	<END>	0.3372093023255814	1204.0	15797.0	0.0762170032284611	1.0
CS161	<END>	0.3371859296482412	1990.0	15797.0	0.12597328606697475	1.0
ECON50	ECON52	0.3322700691121744	1881.0	851.0	0.11907324175476357	0.0538709881623093
PHYSICS44	PHYSICS46	0.33146067415730335	890.0	813.0	0.056339811356586694	0.05146546812685953
CHEM31B	CHEM35	0.3295275590551181	2540.0	2092.0	0.16079002342216878	0.13243020826739255
CHEM31X	CS106A	0.32773780975219824	1251.0	7270.0	0.0791922516933595	0.4602139646768374
ENGR30	ME80	0.3277310924369748	833.0	935.0	0.052731531303412044	0.05918845350382984
CS108	<END>	0.32767762460233296	943.0	15797.0	0.059694878774450844	1.0
CME102	PHYSICS43	0.32688320663441606	1447.0	3030.0	0.09159967082357409	0.19180857124770526
ME203	ME80	0.32645034414945917	1017.0	935.0	0.06437931252769513	0.05918845350382984
CHEM33	BIO41	0.32488774855676716	3118.0	1388.0	0.1973792492245363	0.08786478445274419
PSYCH50	<END>	0.3239845261121857	1034.0	15797.0	0.06545546622776477	1.0
