is_internal	prereq	department	count	p	role	course	department	count	p	role	weight
internal	BIO41	BIO	1388.0	0.08786478445274419	0	BIO44X	BIO	1064.0	0.06735456099259353	0	0.29250720461095103	
external	STS1	STS	881.0	0.055770082927138066	0	<END>	special	15797.0	1.0	0	0.2917139614074915	
external	CME100	CME	2153.0	0.1362917009558777	0	PHYSICS43	PHYSICS	3030.0	0.19180857124770526	0	0.2898281467719461	
external	CHEM130	CHEM	1268.0	0.08026840539342914	0	<END>	special	15797.0	1.0	0	0.2894321766561514	
external	<BEGIN>	special	15797.0	1.0	0	CS106A	CS	7270.0	0.4602139646768374	0	0.289042223206938	
internal	CS145	CS	818.0	0.05178198392099766	0	CS124	CS	1046.0	0.06621510413369627	0	0.2885085574572127	
internal	CS103	CS	3319.0	0.21010318414888904	0	CS107	CS	3393.0	0.21478761790213333	0	0.28833986140403733	
internal	CHEM31A	CHEM	2894.0	0.18319934164714818	0	CHEM35	CHEM	2092.0	0.13243020826739255	0	0.2874913614374568	
internal	CHEM36	CHEM	969.0	0.06134076090396911	0	CHEM135	CHEM	981.0	0.06210039880990061	0	0.28586171310629516	
internal	CS142	CS	1238.0	0.07836931062860036	0	CS161	CS	1990.0	0.12597328606697475	0	0.2851373182552504	
internal	ME80	ME	935.0	0.05918845350382984	0	ME103D	ME	960.0	0.06077103247452048	0	0.28342245989304815	
internal	CS147	CS	870.0	0.05507374818003418	0	CS161	CS	1990.0	0.12597328606697475	0	0.2827586206896552	
internal	CHEM131	CHEM	1442.0	0.09128315502943597	0	CHEM130	CHEM	1268.0	0.08026840539342914	0	0.28224687933425796	
internal	CS103	CS	3319.0	0.21010318414888904	0	CS110	CS	1927.0	0.12198518706083433	0	0.28050617655920457	
external	STATS60	STATS	3270.0	0.2070013293663354	0	<END>	special	15797.0	1.0	0	0.2798165137614679	
external	ENGR40M	ENGR	1124.0	0.07115275052225106	0	<END>	special	15797.0	1.0	0	0.2793594306049822	
internal	PHYSICS43	PHYSICS	3030.0	0.19180857124770526	0	PHYSICS45	PHYSICS	1794.0	0.11356586693676014	0	0.27920792079207923	
external	ENGR14	ENGR	1453.0	0.09197948977653984	0	ME103D	ME	960.0	0.06077103247452048	0	0.27873365450791465	
external	CHEM33	CHEM	3118.0	0.1973792492245363	0	BIO42	BIO	1196.0	0.0757105779578401	0	0.27870429762668375	
internal	ECON1A	ECON	1604.0	0.1015382667595113	0	ECON50	ECON	1881.0	0.11907324175476357	0	0.27805486284289277	
external	ENGR14	ENGR	1453.0	0.09197948977653984	0	ME203	ME	1017.0	0.06437931252769513	0	0.27735719201651754	
external	PSYC135	PSYC	2621.0	0.16591757928720643	0	<END>	special	15797.0	1.0	0	0.2747043113315528	
internal	CS107	CS	3393.0	0.21478761790213333	0	CS161	CS	1990.0	0.12597328606697475	0	0.27379899793692897	
internal	ECON102A	ECON	1589.0	0.10058871937709692	0	ECON52	ECON	851.0	0.0538709881623093	0	0.2737570799244808	
external	CHEM31X	CHEM	1251.0	0.0791922516933595	0	MATH51	MATH	5086.0	0.3219598657973033	0	0.27258193445243806	
internal	CS108	CS	943.0	0.059694878774450844	0	CS142	CS	1238.0	0.07836931062860036	0	0.271474019088017	
external	ECON1A	ECON	1604.0	0.1015382667595113	0	MATH51	MATH	5086.0	0.3219598657973033	0	0.2699501246882793	
external	UAR56	UAR	1593.0	0.10084193201240742	0	CS106A	CS	7270.0	0.4602139646768374	0	0.2699309478970496	
internal	ECON1B	ECON	893.0	0.05652972083306957	0	ECON51	ECON	1273.0	0.08058492118756726	0	0.2687569988801792	
internal	ECON1	ECON	3028.0	0.19168196493005002	0	ECON50	ECON	1881.0	0.11907324175476357	0	0.2675033025099075	
external	CME100	CME	2153.0	0.1362917009558777	0	PHYSICS41	PHYSICS	3406.0	0.21561055896689243	0	0.26614026939154667	
external	CME100	CME	2153.0	0.1362917009558777	0	CS106B	CS	5006.0	0.31689561309109326	0	0.2656758012076173	
external	BIO44X	BIO	1064.0	0.06735456099259353	0	CHEM130	CHEM	1268.0	0.08026840539342914	0	0.2650375939849624	
internal	CS110	CS	1927.0	0.12198518706083433	0	CS109	CS	2672.0	0.16914604038741532	0	0.26466009340944474	
external	CHEM31B	CHEM	2540.0	0.16079002342216878	0	HUMBIO2A	HUMBIO	1548.0	0.09799328986516427	0	0.2641732283464567	
internal	CHEM33	CHEM	3118.0	0.1973792492245363	0	CHEM131	CHEM	1442.0	0.09128315502943597	0	0.2610647851186658	
external	<BEGIN>	special	15797.0	1.0	0	MATH51	MATH	5086.0	0.3219598657973033	0	0.26030258909919607	
external	ME203	ME	1017.0	0.06437931252769513	0	<END>	special	15797.0	1.0	0	0.25958702064896755	
internal	CHEM130	CHEM	1268.0	0.08026840539342914	0	CHEM135	CHEM	981.0	0.06210039880990061	0	0.2586750788643533	
external	MATH42	MATH	1115.0	0.07058302209280243	0	CHEM33	CHEM	3118.0	0.1973792492245363	0	0.25829596412556055	
external	BIO44X	BIO	1064.0	0.06735456099259353	0	CHEM135	CHEM	981.0	0.06210039880990061	0	0.2575187969924812	
